0 length 3246;
0 note 74 100;
0 note 75 100;
0 note 69 100;
0 note 68 100;
0 note 77 100;
0 note 65 100;
191 note 69 100;
196 note 66 100;
197 note 64 100;
202 note 67 100;
212 note 64 100;
218 note 60 100;
273 note 72 100;
277 note 77 100;
283 note 75 100;
291 note 71 100;
293 note 74 100;
297 note 77 100;
316 note 60 100;
343 note 60 0;
500 note 64 0;
504 note 60 0;
510 note 67 0;
590 note 74 0;
590 note 75 0;
590 note 69 0;
590 note 68 0;
590 note 77 0;
590 note 65 0;
590 note 69 0;
590 note 66 0;
590 note 64 0;
590 note 72 0;
590 note 77 0;
590 note 75 0;
653 note 67 100;
715 note 72 100;
717 note 74 100;
717 note 75 100;
717 note 69 100;
717 note 68 100;
717 note 77 100;
717 note 65 100;
782 note 74 0;
783 note 64 100;
807 note 77 0;
825 note 62 100;
911 note 69 100;
916 note 66 100;
917 note 64 100;
922 note 67 100;
932 note 64 100;
938 note 60 100;
993 note 72 100;
997 note 77 100;
1003 note 75 100;
1027 note 71 0;
1036 note 60 100;
1041 note 74 0;
1041 note 75 0;
1041 note 69 0;
1041 note 68 0;
1041 note 77 0;
1041 note 65 0;
1041 note 69 0;
1041 note 66 0;
1041 note 64 0;
1041 note 67 0;
1041 note 64 0;
1041 note 60 0;
1041 note 72 0;
1041 note 77 0;
1041 note 75 0;
1041 note 60 0;
1078 note 74 100;
1078 note 75 100;
1078 note 69 100;
1078 note 68 100;
1078 note 77 100;
1078 note 65 100;
1215 note 81 100;
1232 note 78 100;
1248 note 72 100;
1250 note 71 100;
1271 note 69 100;
1276 note 66 100;
1277 note 64 100;
1282 note 67 100;
1292 note 64 100;
1298 note 60 100;
1315 note 64 0;
1337 note 62 0;
1351 note 67 0;
1353 note 72 100;
1357 note 77 100;
1363 note 75 100;
1396 note 60 100;
1402 note 65 100;
1407 note 72 0;
1423 note 60 0;
1487 note 64 100;
1575 note 69 100;
1580 note 64 0;
1584 note 60 0;
1590 note 67 0;
1610 note 77 100;
1617 note 68 100;
1670 note 74 0;
1670 note 75 0;
1670 note 69 0;
1670 note 68 0;
1670 note 77 0;
1670 note 65 0;
1670 note 69 0;
1670 note 66 0;
1670 note 64 0;
1670 note 72 0;
1670 note 77 0;
1670 note 75 0;
1731 note 77 0;
1741 note 71 0;
1752 note 76 100;
1755 note 72 0;
1764 note 79 100;
1797 note 74 100;
1797 note 75 100;
1797 note 69 100;
1797 note 68 100;
1797 note 77 100;
1797 note 65 100;
1802 note 81 0;
1804 note 65 0;
1812 note 78 0;
1895 note 81 100;
1900 note 74 100;
1901 note 78 100;
1916 note 83 100;
1933 note 79 100;
1991 note 69 100;
1996 note 66 100;
1997 note 64 100;
2002 note 67 100;
2005 note 69 0;
2012 note 64 100;
2015 note 64 0;
2018 note 60 100;
2022 note 68 0;
2073 note 72 100;
2075 note 79 0;
2077 note 77 100;
2083 note 75 100;
2092 note 83 0;
2094 note 79 0;
2104 note 71 100;
2116 note 60 100;
2121 note 74 0;
2121 note 75 0;
2121 note 69 0;
2121 note 68 0;
2121 note 77 0;
2121 note 65 0;
2121 note 69 0;
2121 note 66 0;
2121 note 64 0;
2121 note 67 0;
2121 note 64 0;
2121 note 60 0;
2121 note 72 0;
2121 note 77 0;
2121 note 75 0;
2121 note 60 0;
2139 note 70 100;
2143 note 78 0;
2146 note 81 0;
2148 note 67 100;
2149 note 65 100;
2156 note 68 100;
2156 note 76 0;
2158 note 74 100;
2158 note 75 100;
2158 note 69 100;
2158 note 68 100;
2158 note 77 100;
2158 note 65 100;
2181 note 74 0;
2255 note 72 100;
2256 note 75 100;
2259 note 76 100;
2318 note 70 0;
2323 note 68 0;
2342 note 65 0;
2350 note 71 0;
2351 note 69 100;
2356 note 66 100;
2357 note 64 100;
2362 note 67 100;
2372 note 64 100;
2378 note 60 100;
2433 note 72 100;
2437 note 77 100;
2443 note 75 100;
2470 note 76 100;
2476 note 60 100;
2485 note 81 100;
2489 note 72 100;
2503 note 60 0;
2552 note 67 0;
2660 note 64 0;
2664 note 60 0;
2670 note 67 0;
2713 note 64 100;
2718 note 67 100;
2750 note 74 0;
2750 note 75 0;
2750 note 69 0;
2750 note 68 0;
2750 note 77 0;
2750 note 65 0;
2750 note 69 0;
2750 note 66 0;
2750 note 64 0;
2750 note 72 0;
2750 note 77 0;
2750 note 75 0;
2756 note 76 0;
2757 note 72 0;
2760 note 76 0;
2770 note 72 0;
2771 note 75 0;
2778 note 81 0;
2879 note 74 100;
2879 note 75 100;
2879 note 69 100;
2879 note 68 100;
2879 note 77 100;
2879 note 65 100;
2884 note 81 100;
2896 note 72 100;
2902 note 76 100;
2966 note 76 0;
2968 note 81 0;
2971 note 72 0;
3014 note 60 100;
3036 note 62 100;
3048 note 79 100;
3053 note 74 100;
3071 note 69 100;
3076 note 66 100;
3077 note 64 100;
3082 note 67 100;
3086 note 77 100;
3088 note 71 100;
3092 note 64 100;
3098 note 60 100;
3100 note 69 100;
3135 note 62 0;
3153 note 72 100;
3157 note 77 100;
3163 note 75 100;
3171 note 71 100;
3172 note 60 0;
3173 note 74 100;
3177 note 77 100;
3196 note 60 100;
3223 note 60 0;
3246 note 74 0;
3246 note 75 0;
3246 note 69 0;
3246 note 68 0;
3246 note 77 0;
3246 note 65 0;
3246 note 69 0;
3246 note 66 0;
3246 note 64 0;
3246 note 67 0;
3246 note 64 0;
3246 note 72 0;
3246 note 77 0;
3246 note 75 0;
3246 note 71 0;
3246 note 74 0;
3246 note 77 0;
3246 note 60 0;
