0 length 1769;
0 note 69 101;
0 note 64 101;
180 note 69 0;
192 note 64 0;
251 note 74 100;
353 note 72 100;
358 note 76 100;
374 note 76 100;
400 note 76 0;
406 note 74 0;
475 note 79 100;
479 note 83 100;
482 note 76 100;
516 note 76 0;
537 note 67 100;
584 note 83 0;
590 note 64 100;
661 note 71 100;
674 note 83 100;
680 note 69 100;
683 note 74 100;
691 note 60 100;
703 note 60 100;
734 note 76 100;
754 note 72 100;
759 note 74 0;
801 note 76 0;
885 note 79 100;
900 note 83 0;
908 note 60 0;
913 note 71 0;
917 note 72 0;
920 note 69 0;
924 note 67 0;
927 note 77 100;
928 note 79 0;
937 note 64 0;
953 note 77 0;
953 note 76 0;
974 note 72 0;
1027 note 71 100;
1058 note 81 100;
1062 note 77 100;
1077 note 69 101;
1077 note 64 101;
1078 note 74 100;
1153 note 60 0;
1192 note 76 100;
1224 note 77 100;
1260 note 69 0;
1272 note 64 0;
1275 note 72 100;
1331 note 74 100;
1454 note 76 100;
1486 note 74 0;
1555 note 79 100;
1559 note 83 100;
1596 note 76 0;
1617 note 67 100;
1664 note 83 0;
1670 note 64 100;
1741 note 71 100;
1754 note 83 100;
1763 note 74 100;
