0 length 2860;
0 note 79 100;
208 note 79 0;
217 note 65 100;
297 note 69 100;
332 note 65 0;
389 note 72 100;
399 note 69 0;
493 note 76 100;
549 note 72 0;
626 note 76 0;
704 note 76 100;
715 note 81 100;
755 note 76 0;
811 note 81 0;
904 note 65 100;
908 note 62 100;
914 note 71 100;
1003 note 71 0;
1009 note 65 0;
1017 note 62 0;
1087 note 76 100;
1093 note 72 100;
1097 note 81 100;
1173 note 72 0;
1191 note 76 0;
1196 note 81 0;
1278 note 76 100;
1284 note 83 100;
1284 note 72 100;
1289 note 81 100;
1293 note 79 100;
1345 note 72 0;
1351 note 81 0;
1353 note 76 0;
1361 note 83 0;
1363 note 79 0;
1436 note 79 100;
1438 note 76 100;
1447 note 72 100;
1452 note 83 100;
1551 note 72 0;
1557 note 76 0;
1566 note 79 0;
1574 note 83 0;
1590 note 60 100;
1595 note 71 100;
1596 note 67 100;
1603 note 64 100;
1689 note 67 0;
1695 note 64 0;
1699 note 71 0;
1704 note 60 0;
1737 note 83 100;
1747 note 79 100;
1753 note 76 100;
1757 note 72 100;
1840 note 76 0;
1843 note 79 0;
1855 note 72 0;
1860 note 83 0;
1906 note 76 100;
1915 note 79 100;
1921 note 79 0;
1922 note 81 100;
1925 note 76 0;
2011 note 81 0;
2088 note 71 100;
2112 note 64 100;
2126 note 65 100;
2129 note 67 100;
2133 note 67 0;
2143 note 60 100;
2150 note 71 0;
2205 note 65 0;
2207 note 60 0;
2211 note 64 0;
2382 note 70 100;
2388 note 68 100;
2618 note 69 100;
2624 note 68 0;
2658 note 71 100;
2666 note 70 0;
2673 note 73 100;
2681 note 72 100;
2686 note 73 0;
2695 note 69 0;
2724 note 74 100;
2830 note 71 0;
