0 length 1058;
0 note 79 100;
8 note 83 100;
148 note 76 100;
175 note 81 100;
198 note 79 0;
217 note 83 0;
238 note 72 100;
251 note 76 0;
265 note 67 100;
286 note 72 0;
287 note 79 100;
317 note 77 100;
330 note 81 0;
335 note 64 100;
378 note 79 0;
388 note 77 0;
393 note 67 0;
394 note 77 100;
394 note 77 0;
399 note 60 100;
450 note 77 100;
459 note 69 100;
491 note 64 0;
520 note 77 0;
540 note 72 100;
557 note 60 0;
577 note 69 0;
583 note 76 100;
610 note 73 100;
646 note 72 0;
682 note 77 100;
683 note 76 0;
688 note 76 100;
693 note 76 0;
711 note 76 100;
771 note 73 0;
787 note 79 100;
819 note 77 0;
847 note 77 100;
848 note 76 0;
887 note 79 0;
921 note 77 0;
922 note 79 100;
942 note 81 100;
1029 note 81 0;
