0 length 2671;
0 note 64 100;
59 note 64 0;
327 note 62 100;
381 note 62 0;
541 note 60 100;
599 note 60 0;
666 note 60 100;
721 note 60 0;
954 note 65 100;
987 note 65 0;
1061 note 65 100;
1114 note 65 0;
1162 note 65 100;
1217 note 65 0;
1318 note 66 100;
1369 note 66 0;
1369 note 66 100;
1441 note 67 100;
1445 note 66 0;
1523 note 67 0;
1636 note 69 100;
1685 note 69 0;
1754 note 69 100;
1816 note 69 0;
1856 note 69 100;
1910 note 69 0;
2014 note 69 100;
2037 note 69 0;
2129 note 65 100;
2198 note 65 0;
2282 note 64 100;
2323 note 64 0;
2414 note 62 100;
2462 note 62 0;
2539 note 60 100;
2587 note 60 0;
