0 length 937;
0 note 60 100;
49 note 64 100;
98 note 67 100;
111 note 60 0;
132 note 71 100;
144 note 64 0;
166 note 67 0;
253 note 67 100;
267 note 64 100;
339 note 71 0;
353 note 60 100;
366 note 67 0;
412 note 64 0;
443 note 72 100;
456 note 60 0;
471 note 67 100;
478 note 71 100;
510 note 64 100;
532 note 72 0;
539 note 71 0;
568 note 60 100;
641 note 64 0;
647 note 71 100;
648 note 67 0;
678 note 60 0;
711 note 67 100;
735 note 64 100;
766 note 60 100;
793 note 71 0;
807 note 67 0;
817 note 64 0;
840 note 60 0;
