0 length 1621;
0 note 60 100;
66 note 60 0;
70 note 64 100;
131 note 64 0;
155 note 60 100;
212 note 60 0;
216 note 64 100;
290 note 60 100;
297 note 64 0;
354 note 64 100;
355 note 60 0;
429 note 64 0;
439 note 60 100;
475 note 60 0;
502 note 65 100;
507 note 64 100;
550 note 64 0;
555 note 62 100;
562 note 65 0;
627 note 62 0;
634 note 65 100;
694 note 62 100;
711 note 65 0;
757 note 62 0;
762 note 65 100;
830 note 62 100;
836 note 65 0;
919 note 67 100;
982 note 67 0;
1033 note 69 100;
1085 note 62 0;
1169 note 65 100;
1187 note 69 0;
1197 note 62 100;
1215 note 65 0;
1277 note 62 0;
1341 note 60 100;
1409 note 60 0;
1450 note 60 100;
1512 note 60 0;
