0 length 2826;
0 note 64 100;
62 note 60 100;
332 note 60 0;
350 note 64 0;
976 note 71 100;
986 note 65 100;
1006 note 62 100;
1104 note 62 0;
1158 note 65 0;
1230 note 72 100;
1296 note 71 0;
1408 note 67 100;
1540 note 74 100;
1578 note 67 0;
1610 note 72 0;
1654 note 72 100;
1830 note 74 0;
1910 note 71 100;
1956 note 64 100;
1972 note 64 0;
1992 note 64 100;
2014 note 67 100;
2060 note 72 0;
2074 note 64 0;
2094 note 67 0;
2274 note 71 0;
2434 note 71 100;
2492 note 65 100;
2578 note 71 0;
2606 note 65 0;
