0 length 1;
0 note 72 100;
63 note 72 0;
76 note 74 100;
127 note 74 0;
131 note 72 100;
156 note 72 0;
162 note 74 100;
201 note 74 0;
207 note 72 100;
232 note 72 0;
268 note 64 100;
350 note 74 100;
361 note 64 0;
363 note 65 100;
384 note 74 0;
415 note 72 100;
416 note 74 100;
424 note 72 0;
428 note 65 0;
434 note 64 100;
477 note 74 0;
493 note 72 100;
496 note 64 0;
507 note 65 100;
521 note 72 0;
574 note 65 0;
575 note 72 100;
621 note 72 0;
658 note 74 100;
661 note 74 0;
665 note 72 100;
719 note 72 0;
765 note 72 100;
812 note 72 0;
847 note 74 100;
854 note 72 100;
855 note 74 0;
910 note 72 0;
947 note 72 100;
1002 note 72 0;
1055 note 72 100;
1107 note 72 0;
1148 note 72 100;
1206 note 72 0;
1251 note 72 100;
1303 note 72 0;
1356 note 72 100;
1405 note 72 0;
1460 note 72 100;
1517 note 72 0;
1563 note 72 100;
1627 note 72 0;
1650 note 74 100;
1674 note 76 100;
1706 note 74 0;
1708 note 76 0;
1709 note 65 100;
1748 note 64 100;
1792 note 65 0;
1815 note 62 100;
1851 note 77 100;
1879 note 64 0;
1907 note 62 0;
1940 note 72 100;
1956 note 77 0;
2023 note 72 0;
2055 note 72 100;
2106 note 72 0;
2116 note 65 100;
2186 note 64 100;
2223 note 65 0;
2244 note 62 100;
2304 note 76 100;
2310 note 64 0;
2332 note 62 0;
2378 note 77 100;
2384 note 76 0;
2415 note 76 100;
2440 note 77 0;
2482 note 76 0;
2487 note 77 100;
2516 note 76 100;
2521 note 77 0;
2529 note 65 100;
2570 note 76 0;
2571 note 64 100;
2608 note 65 0;
2632 note 62 100;
2704 note 60 100;
2724 note 64 0;
2747 note 62 0;
2792 note 72 100;
2830 note 60 0;
2831 note 69 100;
2873 note 69 0;
2874 note 72 0;
2886 note 74 100;
2914 note 74 0;
2924 note 60 100;
2951 note 69 100;
2988 note 71 100;
3089 note 73 100;
3091 note 64 100;
3119 note 64 0;
3125 note 66 100;
3140 note 60 0;
3141 note 71 0;
3202 note 69 0;
3231 note 66 0;
3238 note 66 100;
3262 note 79 100;
3268 note 66 0;
3269 note 71 100;
3277 note 73 0;
3294 note 73 100;
3296 note 74 100;
3298 note 79 0;
3323 note 71 0;
3336 note 65 100;
3340 note 66 100;
3341 note 67 100;
3359 note 74 0;
3360 note 74 100;
3374 note 67 0;
3374 note 74 0;
3390 note 63 100;
3412 note 60 100;
3418 note 64 100;
3425 note 74 100;
3443 note 79 100;
3453 note 66 0;
3474 note 73 0;
3475 note 74 0;
3493 note 74 100;
3510 note 79 0;
3528 note 60 0;
3542 note 63 0;
3554 note 63 100;
3556 note 63 0;
3557 note 75 100;
3571 note 74 0;
3576 note 76 100;
3600 note 75 0;
3612 note 64 0;
3634 note 77 100;
3643 note 76 0;
3656 note 81 100;
3696 note 77 0;
3705 note 83 100;
3715 note 81 0;
3741 note 65 0;
3794 note 83 0;
