0 length 3194;
0 note 60 100;
148 note 60 0;
193 note 64 100;
283 note 64 0;
388 note 65 100;
448 note 65 0;
568 note 67 100;
628 note 67 0;
733 note 65 100;
793 note 65 0;
883 note 64 100;
943 note 64 0;
1018 note 62 100;
1063 note 62 0;
1079 note 60 100;
1228 note 60 0;
1273 note 64 100;
1363 note 64 0;
1468 note 65 100;
1528 note 65 0;
1648 note 67 100;
1708 note 67 0;
1813 note 65 100;
1873 note 65 0;
1963 note 64 100;
2023 note 64 0;
2098 note 62 100;
2143 note 62 0;
2159 note 60 100;
2308 note 60 0;
2353 note 64 100;
2443 note 64 0;
2548 note 65 100;
2608 note 65 0;
2728 note 67 100;
2788 note 67 0;
2893 note 65 100;
2953 note 65 0;
3043 note 64 100;
3103 note 64 0;
3178 note 62 100;
3194 note 62 0;
