0 length 734;
0 note 72 100;
75 note 69 100;
115 note 72 0;
117 note 65 100;
152 note 69 0;
162 note 64 100;
233 note 74 100;
267 note 64 0;
267 note 65 0;
307 note 72 100;
312 note 71 100;
343 note 69 100;
362 note 72 0;
362 note 74 0;
365 note 71 0;
371 note 65 100;
394 note 64 100;
432 note 69 0;
455 note 74 100;
481 note 65 0;
485 note 64 0;
491 note 71 100;
549 note 74 0;
553 note 65 100;
554 note 69 100;
559 note 64 100;
580 note 71 0;
603 note 69 0;
633 note 72 100;
666 note 71 100;
702 note 69 100;
717 note 65 0;
729 note 64 0;
