0 length 839;
0 note 71 100;
29 note 69 100;
59 note 71 0;
59 note 69 0;
74 note 64 100;
89 note 65 100;
119 note 65 0;
119 note 64 0;
134 note 69 100;
134 note 70 100;
149 note 69 0;
164 note 70 0;
194 note 66 100;
224 note 70 100;
239 note 66 0;
254 note 70 0;
269 note 66 100;
269 note 70 100;
299 note 66 0;
299 note 70 0;
344 note 66 100;
404 note 66 0;
449 note 82 100;
464 note 82 0;
509 note 82 100;
524 note 82 0;
554 note 82 100;
584 note 82 0;
584 note 66 100;
629 note 66 0;
644 note 82 100;
659 note 82 0;
689 note 82 100;
719 note 66 100;
734 note 82 0;
749 note 66 0;
