0 length 1972;
0 note 71 100;
1 note 77 100;
3 note 74 100;
273 note 64 100;
285 note 60 100;
407 note 74 0;
421 note 71 0;
422 note 77 0;
737 note 67 100;
759 note 72 100;
801 note 76 100;
817 note 79 100;
895 note 67 0;
908 note 64 0;
911 note 60 0;
971 note 72 0;
981 note 76 0;
982 note 79 0;
1041 note 69 100;
1042 note 65 100;
1050 note 60 100;
1370 note 69 0;
1374 note 65 0;
1383 note 60 0;
1525 note 69 100;
1550 note 65 100;
1557 note 69 0;
1596 note 62 100;
1650 note 71 100;
1728 note 72 100;
1742 note 71 0;
1746 note 65 0;
1752 note 76 100;
1756 note 79 100;
1780 note 62 0;
1817 note 72 0;
1826 note 79 0;
1831 note 76 0;
1863 note 72 100;
1870 note 76 100;
1919 note 76 0;
1920 note 72 0;
