0 length 1787;
0 note 60 100;
195 note 60 0;
211 note 64 100;
219 note 67 100;
228 note 71 100;
290 note 71 0;
294 note 64 0;
304 note 67 0;
333 note 60 100;
572 note 74 100;
573 note 64 100;
576 note 67 100;
578 note 60 0;
579 note 71 100;
681 note 74 0;
696 note 64 0;
699 note 67 0;
700 note 71 0;
805 note 60 100;
1002 note 64 100;
1006 note 67 100;
1010 note 71 100;
1010 note 74 100;
1010 note 60 0;
1135 note 74 0;
1148 note 64 0;
1153 note 67 0;
1154 note 71 0;
1224 note 60 100;
1359 note 60 0;
1363 note 65 100;
1366 note 69 100;
1373 note 76 100;
1374 note 72 100;
1484 note 76 0;
1490 note 65 0;
1502 note 72 0;
1503 note 69 0;
1579 note 65 100;
1583 note 76 100;
1583 note 69 100;
1588 note 72 100;
1785 note 69 0;
1786 note 72 0;
1786 note 76 0;
