0 length 1623;
0 note 74 100;
31 note 74 0;
108 note 74 100;
150 note 74 0;
186 note 60 100;
256 note 60 0;
273 note 74 100;
309 note 74 0;
345 note 60 100;
409 note 60 0;
417 note 74 100;
452 note 74 0;
515 note 74 100;
562 note 74 0;
594 note 62 100;
651 note 62 0;
677 note 72 100;
713 note 72 0;
775 note 72 100;
828 note 72 0;
857 note 64 100;
913 note 64 0;
940 note 71 100;
978 note 71 0;
1033 note 71 100;
1077 note 71 0;
1103 note 65 100;
1147 note 65 0;
1165 note 69 100;
1325 note 72 100;
1361 note 69 0;
1487 note 77 100;
1493 note 72 0;
