0 length 2541;
0 note 76 100;
11 note 65 100;
12 note 72 100;
17 note 69 100;
317 note 72 0;
329 note 69 0;
330 note 65 0;
338 note 69 100;
345 note 69 0;
359 note 76 0;
854 note 77 100;
860 note 74 100;
867 note 71 100;
869 note 67 100;
959 note 67 0;
999 note 71 0;
1003 note 74 0;
1008 note 74 100;
1009 note 74 0;
1013 note 77 0;
1151 note 67 100;
1159 note 71 100;
1160 note 74 100;
1181 note 76 100;
1223 note 67 0;
1237 note 76 0;
1242 note 71 0;
1244 note 74 0;
1356 note 72 100;
1360 note 65 100;
1361 note 69 100;
1459 note 65 0;
1463 note 72 0;
1470 note 69 0;
1627 note 65 100;
1632 note 74 100;
1633 note 71 100;
1698 note 65 0;
1725 note 74 0;
1729 note 71 0;
1821 note 64 100;
1964 note 67 100;
1965 note 64 0;
2012 note 71 100;
2152 note 67 0;
2187 note 72 100;
2191 note 74 100;
2262 note 71 0;
2268 note 64 100;
2306 note 72 0;
2322 note 74 0;
2377 note 64 0;
