0 length 1244;
0 note 72 100;
74 note 74 100;
89 note 72 0;
134 note 72 100;
164 note 74 0;
194 note 67 100;
209 note 72 0;
299 note 65 100;
329 note 67 0;
359 note 71 100;
404 note 65 0;
419 note 72 100;
449 note 71 0;
554 note 72 0;
554 note 71 100;
554 note 67 100;
554 note 71 0;
569 note 65 100;
614 note 67 0;
629 note 62 100;
659 note 74 100;
689 note 65 0;
749 note 62 0;
764 note 72 100;
809 note 69 100;
824 note 74 0;
854 note 72 0;
899 note 69 0;
914 note 65 100;
959 note 64 100;
1004 note 60 100;
1019 note 62 100;
1019 note 65 0;
1049 note 62 0;
1064 note 67 100;
1064 note 64 0;
1079 note 60 0;
1199 note 67 0;
