0 length 2783;
0 note 74 100;
0 note 75 100;
0 note 69 100;
0 note 68 100;
0 note 77 100;
0 note 65 100;
192 note 69 100;
197 note 66 100;
198 note 64 100;
203 note 67 100;
213 note 64 100;
219 note 60 100;
274 note 72 100;
278 note 77 100;
284 note 75 100;
292 note 71 100;
294 note 74 100;
298 note 77 100;
317 note 60 100;
344 note 60 0;
501 note 64 0;
505 note 60 0;
511 note 67 0;
591 note 74 0;
591 note 75 0;
591 note 69 0;
591 note 68 0;
591 note 77 0;
591 note 65 0;
591 note 69 0;
591 note 66 0;
591 note 64 0;
591 note 72 0;
591 note 77 0;
591 note 75 0;
654 note 67 100;
718 note 74 100;
718 note 75 100;
718 note 69 100;
718 note 68 100;
718 note 77 100;
718 note 65 100;
783 note 74 0;
784 note 64 100;
808 note 77 0;
826 note 62 100;
912 note 69 100;
917 note 66 100;
918 note 64 100;
923 note 67 100;
933 note 64 100;
939 note 60 100;
994 note 72 100;
998 note 77 100;
1004 note 75 100;
1028 note 71 0;
1037 note 60 100;
1042 note 74 0;
1042 note 75 0;
1042 note 69 0;
1042 note 68 0;
1042 note 77 0;
1042 note 65 0;
1042 note 69 0;
1042 note 66 0;
1042 note 64 0;
1042 note 67 0;
1042 note 64 0;
1042 note 60 0;
1042 note 72 0;
1042 note 77 0;
1042 note 75 0;
1042 note 60 0;
1079 note 74 100;
1079 note 75 100;
1079 note 69 100;
1079 note 68 100;
1079 note 77 100;
1079 note 65 100;
1216 note 81 100;
1233 note 78 100;
1249 note 72 100;
1251 note 71 100;
1272 note 69 100;
1277 note 66 100;
1278 note 64 100;
1283 note 67 100;
1293 note 64 100;
1299 note 60 100;
1316 note 64 0;
1338 note 62 0;
1352 note 67 0;
1354 note 72 100;
1358 note 77 100;
1364 note 75 100;
1397 note 60 100;
1424 note 60 0;
1488 note 64 100;
1576 note 69 100;
1581 note 64 0;
1585 note 60 0;
1591 note 67 0;
1611 note 77 100;
1618 note 68 100;
1671 note 74 0;
1671 note 75 0;
1671 note 69 0;
1671 note 68 0;
1671 note 77 0;
1671 note 65 0;
1671 note 69 0;
1671 note 66 0;
1671 note 64 0;
1671 note 72 0;
1671 note 77 0;
1671 note 75 0;
1732 note 77 0;
1742 note 71 0;
1756 note 72 0;
1798 note 74 100;
1798 note 75 100;
1798 note 69 100;
1798 note 68 100;
1798 note 77 100;
1798 note 65 100;
1803 note 81 0;
1813 note 78 0;
1896 note 81 100;
1901 note 74 100;
1902 note 78 100;
1917 note 83 100;
1934 note 79 100;
1992 note 69 100;
1997 note 66 100;
1998 note 64 100;
2003 note 67 100;
2006 note 69 0;
2013 note 64 100;
2016 note 64 0;
2019 note 60 100;
2023 note 68 0;
2074 note 72 100;
2076 note 79 0;
2078 note 77 100;
2084 note 75 100;
2093 note 83 0;
2105 note 71 100;
2117 note 60 100;
2122 note 74 0;
2122 note 75 0;
2122 note 69 0;
2122 note 68 0;
2122 note 77 0;
2122 note 65 0;
2122 note 69 0;
2122 note 66 0;
2122 note 64 0;
2122 note 67 0;
2122 note 64 0;
2122 note 60 0;
2122 note 72 0;
2122 note 77 0;
2122 note 75 0;
2122 note 60 0;
2140 note 70 100;
2144 note 78 0;
2147 note 81 0;
2150 note 65 100;
2157 note 68 100;
2159 note 74 100;
2159 note 75 100;
2159 note 69 100;
2159 note 68 100;
2159 note 77 100;
2159 note 65 100;
2182 note 74 0;
2256 note 72 100;
2257 note 75 100;
2260 note 76 100;
2319 note 70 0;
2324 note 68 0;
2343 note 65 0;
2351 note 71 0;
2352 note 69 100;
2357 note 66 100;
2358 note 64 100;
2363 note 67 100;
2373 note 64 100;
2379 note 60 100;
2434 note 72 100;
2438 note 77 100;
2444 note 75 100;
2477 note 60 100;
2504 note 60 0;
2661 note 64 0;
2665 note 60 0;
2671 note 67 0;
2751 note 74 0;
2751 note 75 0;
2751 note 69 0;
2751 note 68 0;
2751 note 77 0;
2751 note 65 0;
2751 note 69 0;
2751 note 66 0;
2751 note 64 0;
2751 note 72 0;
2751 note 77 0;
2751 note 75 0;
2761 note 76 0;
2771 note 72 0;
2772 note 75 0;
