0 length 1359;
0 note 83 100;
12 note 76 100;
18 note 79 100;
22 note 72 100;
176 note 72 0;
177 note 76 0;
186 note 79 0;
189 note 60 100;
197 note 83 0;
203 note 67 100;
205 note 71 100;
209 note 64 100;
339 note 71 0;
351 note 64 0;
353 note 60 0;
357 note 67 0;
462 note 71 100;
467 note 60 100;
472 note 67 100;
473 note 64 100;
644 note 71 0;
650 note 83 100;
656 note 79 100;
658 note 67 0;
667 note 76 100;
673 note 72 100;
674 note 64 0;
678 note 60 0;
681 note 83 100;
733 note 83 0;
738 note 83 100;
739 note 83 0;
833 note 83 100;
904 note 83 0;
994 note 83 100;
1059 note 83 0;
1130 note 83 100;
1177 note 83 0;
1227 note 83 100;
1287 note 83 0;
1324 note 83 0;
1324 note 79 0;
1324 note 76 0;
1324 note 72 0;
1325 note 83 100;
1338 note 76 100;
1344 note 79 100;
1348 note 72 100;
1359 note 83 0;
1359 note 76 0;
1359 note 79 0;
1359 note 72 0;
