0 length 909;
0 note 83 100;
17 note 79 100;
85 note 76 100;
99 note 83 0;
132 note 72 100;
156 note 79 0;
186 note 76 0;
219 note 72 0;
237 note 71 100;
286 note 67 100;
319 note 64 100;
389 note 60 100;
475 note 72 100;
493 note 64 0;
494 note 67 0;
500 note 79 100;
502 note 76 100;
503 note 60 0;
506 note 71 0;
527 note 76 0;
545 note 72 0;
550 note 79 0;
596 note 83 100;
599 note 79 100;
599 note 72 100;
601 note 76 100;
689 note 76 0;
715 note 72 0;
725 note 83 0;
732 note 79 0;
779 note 79 100;
786 note 72 100;
787 note 76 100;
789 note 83 100;
