0 length 3589;
0 note 66 100;
97 note 66 0;
395 note 67 100;
430 note 67 0;
746 note 65 100;
756 note 68 100;
879 note 68 0;
912 note 65 0;
1019 note 67 100;
1067 note 67 0;
1208 note 65 100;
1281 note 65 0;
1404 note 66 100;
1445 note 66 0;
1599 note 67 100;
1672 note 67 0;
1944 note 65 100;
1971 note 68 100;
2085 note 68 0;
2137 note 65 0;
2271 note 66 100;
2292 note 66 0;
2485 note 67 100;
2535 note 67 0;
2701 note 65 100;
2837 note 65 0;
2888 note 68 100;
2945 note 68 0;
3244 note 64 100;
3249 note 67 100;
3340 note 67 0;
3351 note 64 0;
