0 length 4985;
0 note 72 100;
203 note 72 0;
267 note 62 100;
469 note 62 0;
485 note 71 100;
683 note 72 100;
747 note 71 0;
833 note 74 100;
981 note 72 0;
1023 note 76 100;
1149 note 74 0;
1243 note 64 100;
1303 note 76 0;
1401 note 76 100;
1425 note 64 0;
1537 note 74 100;
1697 note 72 100;
1823 note 71 100;
1881 note 74 0;
1915 note 76 0;
1961 note 72 0;
2011 note 71 0;
2017 note 64 100;
2211 note 64 0;
2459 note 62 100;
2623 note 62 0;
2683 note 71 100;
2693 note 72 100;
2831 note 71 0;
2853 note 74 100;
2891 note 69 100;
2957 note 74 0;
2969 note 72 0;
2977 note 62 100;
3069 note 69 0;
3109 note 62 0;
3229 note 67 100;
3525 note 60 100;
3967 note 67 0;
3975 note 69 100;
4135 note 71 100;
4143 note 69 0;
4305 note 71 0;
4341 note 72 100;
4511 note 74 100;
4519 note 72 0;
4531 note 72 100;
4883 note 72 0;
4887 note 74 0;
