0 length 1378;
0 note 81 100;
79 note 77 100;
133 note 81 0;
146 note 72 100;
187 note 77 0;
208 note 69 100;
223 note 72 0;
256 note 64 100;
296 note 69 0;
308 note 60 100;
357 note 71 100;
367 note 64 0;
421 note 60 0;
445 note 69 100;
455 note 71 0;
508 note 64 100;
544 note 69 0;
588 note 71 100;
595 note 64 0;
668 note 69 100;
683 note 71 0;
710 note 65 100;
762 note 69 0;
786 note 62 100;
812 note 74 100;
826 note 65 0;
851 note 62 0;
920 note 76 100;
923 note 74 0;
992 note 74 100;
1018 note 76 0;
1026 note 71 100;
1068 note 74 0;
1124 note 71 0;
1126 note 64 100;
1197 note 60 100;
1241 note 64 0;
1259 note 60 0;
1290 note 71 100;
1300 note 69 100;
1306 note 69 0;
1336 note 71 0;
