0 length 1270;
0 note 60 100;
52 note 64 100;
78 note 60 0;
153 note 60 100;
166 note 64 0;
233 note 64 100;
250 note 60 0;
325 note 60 100;
348 note 64 0;
391 note 64 100;
418 note 60 0;
506 note 64 0;
579 note 67 100;
743 note 65 100;
746 note 64 100;
784 note 67 0;
805 note 60 100;
814 note 64 0;
821 note 65 0;
885 note 67 100;
907 note 60 0;
914 note 64 100;
991 note 60 100;
995 note 67 0;
1055 note 67 100;
1081 note 64 0;
1089 note 64 100;
1099 note 60 0;
1134 note 60 100;
1164 note 64 0;
1174 note 64 100;
1180 note 64 0;
1186 note 67 0;
1202 note 60 0;
