0 length 1435;
0 note 69 100;
57 note 69 0;
68 note 64 100;
137 note 71 100;
138 note 69 100;
141 note 64 0;
185 note 71 0;
193 note 69 0;
215 note 64 100;
217 note 65 100;
274 note 65 0;
277 note 64 0;
297 note 72 100;
343 note 72 0;
365 note 65 100;
374 note 67 100;
404 note 74 100;
411 note 67 0;
422 note 65 0;
441 note 74 0;
499 note 65 100;
503 note 67 100;
510 note 76 100;
540 note 76 0;
554 note 65 0;
555 note 67 0;
604 note 77 100;
624 note 67 100;
628 note 64 100;
643 note 77 0;
675 note 64 0;
684 note 67 0;
707 note 79 100;
754 note 79 0;
758 note 69 100;
761 note 65 100;
809 note 81 100;
817 note 65 0;
822 note 69 0;
863 note 81 0;
893 note 69 100;
912 note 79 100;
945 note 69 0;
949 note 77 100;
956 note 79 0;
982 note 76 100;
982 note 77 0;
1004 note 71 100;
1012 note 74 100;
1014 note 76 0;
1021 note 71 0;
1034 note 74 0;
1034 note 72 100;
1037 note 69 100;
1048 note 69 0;
1057 note 72 0;
1121 note 69 100;
1134 note 69 0;
1158 note 67 100;
1174 note 67 0;
1199 note 65 100;
1214 note 65 0;
1239 note 64 100;
1277 note 64 0;
1285 note 62 100;
1331 note 62 0;
