0 length 4533;
0 note 60 100;
10 note 63 100;
18 note 67 100;
64 note 77 100;
173 note 77 0;
346 note 74 100;
348 note 77 100;
1137 note 67 0;
1250 note 69 100;
1273 note 71 100;
1311 note 71 0;
2155 note 69 0;
2237 note 67 100;
3141 note 72 100;
3143 note 74 0;
3211 note 77 0;
3694 note 73 100;
3768 note 72 0;
3932 note 69 100;
3956 note 71 100;
3971 note 73 0;
4005 note 69 0;
4081 note 71 0;
4089 note 69 100;
4107 note 70 100;
4121 note 69 0;
4222 note 69 100;
4272 note 70 0;
4298 note 67 0;
4353 note 63 0;
4358 note 60 0;
